名字,tier,entity_type,业界/学界/其他,组织,研究方向,简介,tier_reason,Twitter,活跃情况,备注,source_authority,last_tweet_at,avg_interval_days,arxiv_author_query,openalex_url,scholar_url,github_url,personal_url,arxiv_homepage_url,affiliation_regex,orcid,关联信号,论文链接
OpenAI,P0+,company,业界,OpenAI,,,OpenAI官方账号，GPT系列、DALL·E、Sora等划时代模型的发布源头，AI行业风向标。,https://x.com/OpenAI,非常,,official,,,,,,,https://openai.com,,,,,
OpenAI Developers,P0+,company,业界,OpenAI,,,OpenAI开发者官方账号，第一手发布API更新、开发工具与平台能力，开发者生态核心信息源。,https://x.com/OpenAIDevs,一般,,official,,,"au:""OpenAI Developers""",,,,https://developers.openai.com,https://arxiv.org/search/?searchtype=author&query=OpenAI+Developers&start=0,,,,
Greg Brockman,P0+,person,业界,OpenAI,,President & Co-Founder at OpenAI,OpenAI联合创始人兼总裁，ChatGPT与GPT-4背后的核心推动者，AI产业化进程的领军人物。,https://x.com/gdb,非常,,founder,,,"au:""Greg Brockman""",,,https://github.com/gdb,http://gregbrockman.com,https://arxiv.org/search/?searchtype=author&query=Greg+Brockman&start=0,,,"x:2048796696755212660,x:2048777802586149331,x:2047757455606903178,x:2047754848628867183,x:2047753023099912393,x:2047489218998628780,x:2051759920467312940,x:2051866486658994636,x:2052448850796011931,x:2052480998668206262,x:2052583338561683775,x:2052480998668206262,x:2053636695698833563,x:2053134883040514350,x:2052850012003201167,x:2052805767791829259,x:2052783746009440658,x:2053885412821885205,x:2053943428241928560,x:2054064478547775813,x:2054744721570820444,x:2054710146924683586,x:2056448588754903316,x:2056430780809892252,x:2056948285038887255,x:2056882844270739883,x:2056875145277387180,x:2056863925791293675,x:2056820240860778750,x:2057365298873811303,x:2057341198369452252,x:2057460310982946951,x:2057549563494650223,x:2057582329548447770,x:2057561615868813631,x:2057556336003416553,x:2057365298873811303,x:2057341198369452252,x:2057505953222955053,x:2057802037757157838,x:2057704270531903811,x:2057670776803996110,x:2057650157358055625,x:2058048121674907670,x:2058048121674907670,x:2058232892266836141,x:2058223176027439439,x:2058381548383096994,x:2058598608224858442,x:2058381548383096994,x:2058750645394649410,x:2059034161739182453,x:2058750645394649410,x:2059389057055252554,x:2059315705779229144,x:2059301458873659819,x:2059662726256075023,x:2059566028166934585,x:2059519197562929416,x:2059389057055252554,x:2059315705779229144,x:2059831475495899191,x:2060045957463724372,x:2060294896918094152,x:2060486309886443787,x:2060473854569467922,x:2060452095279415725,x:2060432274710315010,x:2060421260304355384,x:2060611636767998241,x:2060581381093388430,x:2060611636767998241,x:2060581381093388430,x:2060955146952077653,x:2060978248792907818,x:2061145994121871656,x:2060978248792907818,x:2060955146952077653,x:2061603059781054878,x:2061591739350282351,x:2062292268602773747,x:2062279597149061564,x:2062259921664835833,x:2062080673632895138,x:2061988413105156128,x:2062608071411540196,x:2063102501847757197,x:2063056196735504796,x:2064093657888960998,x:2063786462647079408,x:2063938859583389837,x:2064469421490659751","https://x.com/gdb/status/2051759920467312940
https://x.com/gdb/status/2051866486658994636
https://x.com/gdb/status/2047757455606903178
https://x.com/gdb/status/2047754848628867183
https://x.com/gdb/status/2047759012326936618
https://x.com/gdb/status/2047752627728060585
https://x.com/gdb/status/2047745639195508754
https://x.com/gdb/status/2047755043278094837
https://x.com/gdb/status/2047753216264396877
https://x.com/gdb/status/2047753023099912393
https://x.com/gdb/status/2047759621478314352
https://x.com/gdb/status/2047489218998628780
https://x.com/gdb/status/2048796696755212660
https://x.com/gdb/status/2048777802586149331
https://x.com/gdb/status/2052583338561683775
https://x.com/gdb/status/2052448850796011931
https://x.com/gdb/status/2052480998668206262
https://x.com/gdb/status/2052525058325647693
https://x.com/gdb/status/2052448850796011931
https://x.com/gdb/status/2052525058325647693
https://x.com/gdb/status/2052480998668206262
https://x.com/gdb/status/2052583338561683775
https://x.com/gdb/status/2054710146924683586
https://x.com/gdb/status/2054744721570820444
https://x.com/gdb/status/2053636695698833563
https://x.com/gdb/status/2052850012003201167
https://x.com/gdb/status/2053134883040514350
https://x.com/gdb/status/2053221403868922114
https://x.com/gdb/status/2052805767791829259
https://x.com/gdb/status/2052831492733390926
https://x.com/gdb/status/2052783746009440658
https://x.com/gdb/status/2053884619695730745
https://x.com/gdb/status/2053885412821885205
https://x.com/gdb/status/2053943428241928560
https://x.com/gdb/status/2054064478547775813
https://x.com/gdb/status/2054092636659625990
https://x.com/gdb/status/2056448588754903316
https://x.com/gdb/status/2056430780809892252
https://x.com/gdb/status/2058598608224858442
https://x.com/gdb/status/2058381548383096994
https://x.com/gdb/status/2058750645394649410
https://x.com/gdb/status/2058750645394649410
https://x.com/gdb/status/2059034161739182453
https://x.com/gdb/status/2059301458873659819
https://x.com/gdb/status/2059389057055252554
https://x.com/gdb/status/2059315705779229144
https://x.com/gdb/status/2059519197562929416
https://x.com/gdb/status/2059662726256075023
https://x.com/gdb/status/2059566028166934585
https://x.com/gdb/status/2059389057055252554
https://x.com/gdb/status/2059315705779229144
https://x.com/gdb/status/2060045957463724372
https://x.com/gdb/status/2059831475495899191
https://x.com/gdb/status/2056875145277387180
https://x.com/gdb/status/2056948285038887255
https://x.com/gdb/status/2056863925791293675
https://x.com/gdb/status/2056882844270739883
https://x.com/gdb/status/2056820240860778750
https://x.com/gdb/status/2057341198369452252
https://x.com/rohanpaul_ai/status/2057460310982946951
https://x.com/gdb/status/2057365298873811303
https://x.com/gdb/status/2057341198369452252
https://x.com/gdb/status/2057561615868813631
https://x.com/gdb/status/2057365298873811303
https://x.com/gdb/status/2057582329548447770
https://x.com/gdb/status/2057549563494650223
https://x.com/gdb/status/2057556336003416553
https://x.com/rohanpaul_ai/status/2057505953222955053
https://x.com/gdb/status/2057670776803996110
https://x.com/gdb/status/2057802037757157838
https://x.com/gdb/status/2057704270531903811
https://x.com/gdb/status/2057650157358055625
https://x.com/gdb/status/2058048121674907670
https://x.com/gdb/status/2058048121674907670
https://x.com/gdb/status/2058232892266836141
https://x.com/gdb/status/2058223176027439439
https://x.com/gdb/status/2058381548383096994
https://x.com/gdb/status/2060452095279415725
https://x.com/gdb/status/2060294896918094152
https://x.com/gdb/status/2060473854569467922
https://x.com/gdb/status/2060432274710315010
https://x.com/gdb/status/2060421260304355384
https://x.com/gdb/status/2060486309886443787
https://x.com/gdb/status/2060611636767998241
https://x.com/gdb/status/2060581381093388430
https://x.com/gdb/status/2060611636767998241
https://x.com/gdb/status/2060581381093388430
https://x.com/gdb/status/2062608071411540196
https://x.com/gdb/status/2063056196735504796
https://x.com/gdb/status/2063102501847757197
https://x.com/gdb/status/2060955146952077653
https://x.com/gdb/status/2060978248792907818
https://x.com/gdb/status/2061145994121871656
https://x.com/gdb/status/2060978248792907818
https://x.com/gdb/status/2060955146952077653
https://x.com/gdb/status/2061603059781054878
https://x.com/gdb/status/2061591739350282351
https://x.com/gdb/status/2062279597149061564
https://x.com/gdb/status/2062080673632895138
https://x.com/gdb/status/2061988413105156128
https://x.com/gdb/status/2062292268602773747
https://x.com/gdb/status/2062259921664835833
https://x.com/gdb/status/2063786462647079408
https://x.com/gdb/status/2064093657888960998
https://x.com/NandoDF/status/2063938859583389837
https://x.com/gdb/status/2064469421490659751"
MSR,P0+,company,业界,Microsoft,,,微软研究院是全球顶级工业界研究机构，在NLP、CV、RL等领域持续产出顶会成果并深度影响Azure AI产品。,https://x.com/MSFTResearch,非常,,official,,,"au:""MSR""",,,,https://microsoft.com/research,https://arxiv.org/search/?searchtype=author&query=MSR&start=0,,,,
Can Xu,P0+,person,业界,Microsoft,Reasoning,Senior Researcher@Microsoft AI; Founder at WizardLM_AI,微软AI高级研究员，WizardLM系列发起人，在指令数据合成与模型推理能力提升上取得业界广泛关注的成果。,https://twitter.com/CanXu20,非常,,founder,,,"au:""Can Xu""",,https://scholar.google.com/citations?hl=en&user=5aiE_NcAAAAJ,https://github.com/nlpxucan,https://nlpxucan.github.io/,https://arxiv.org/search/?searchtype=author&query=Can+Xu&start=0,,,,
Anthropic,P0+,company,业界,Anthropic,,,AI安全领域旗舰机构，Claude系列模型开发者，在可解释性、对齐研究和宪法AI方法上引领学界与产业界。,https://x.com/AnthropicAI,一般,,official,,,,,,,https://anthropic.com,,,,,
Perplexity,P0+,company,业界,Perplexity,,,AI原生搜索引擎代表机构，将LLM与实时检索深度融合，重新定义问答搜索产品形态，增长迅猛。,https://x.com/perplexity_ai,非常,,official,,,,,,,http://perplexity.ai/personal-computer,,,,,
World Labs,P0+,company,业界,World Labs,Spatial intelligence,,李飞飞创立的空间智能旗舰实验室，专注3D世界模型与空间推理，代表AI感知与生成的新兴前沿方向。,https://x.com/theworldlabs,非常,,official,,,,,,,http://worldlabs.ai,,,,,
Mistral AI,P0+,company,业界,Mistral AI,,,欧洲顶级开源大模型机构，Mixtral系列MoE模型开创者，在高效开源模型领域持续引领技术潮流。,https://x.com/MistralAI,不活跃,,official,,,,,,,,,,,,
Scale AI,P0+,company,业界,Scale AI,,,全球最大AI数据标注与评估平台，为OpenAI、Anthropic等顶尖机构提供RLHF数据支撑，深度影响模型对齐生态。,https://x.com/scale_AI,非常,,official,,,,,,,http://www.scale.com,,,,,
Sierra AI,P0+,company,业界,Sierra AI,,,由Bret Taylor和Clay Baird创立的企业AI Agent平台，专注可靠对话式AI落地，代表Agent商业化前沿方向。,https://x.com/sierraplatform,一般,,official,,,,,,,http://sierra.ai,,,,,
Liquid AI,P0+,company,业界,Liquid AI,,,MIT衍生的新架构AI机构，以液态神经网络（LNN）和RSSM等非Transformer架构为核心差异化，代表架构创新前沿。,https://x.com/LiquidAI_,非常,,official,,,,,,,,,,,,
Epoch AI,P0+,company,业界,Epoch AI,,,专注AI进展量化分析的权威研究机构，在算力趋势、模型scaling规律等方面提供被广泛引用的数据与洞察。,https://x.com/EpochAIResearch,非常,,official,,,,,https://scholar.google.com/citations?user=COAtad0AAAAJ&hl=en,https://github.com/epoch-research,http://epoch.ai,,,,,
Deepseek,P0+,company,业界,Deepseek,,,幻方量化旗下中国顶级大模型机构，DeepSeek-R1等模型以极高性价比达到世界前沿水平，引发全球广泛关注。,https://x.com/deepseek_ai,非常,,official,,,,,,https://github.com/deepseek-ai,https://www.deepseek.com/,,,,,
Gradient AI,P0+,company,业界,Gradient AI,,,专注企业级AI基础设施与模型服务的旗舰创业平台，引领私有化部署与定制化大模型落地方向。,https://x.com/Gradient_AI_,非常,,official,,,,,,,,,,,,
Jiaming Song,P0+,person,业界,创业公司,Multimodal,Luma AI 首席科学家，斯坦福大学计算机科学博士、博士后。曾任职英伟达（DIR）小组科学家 ，创建了最早的扩散模型加速算法，该算法广泛用于最近的生成式 AI 系统，包括 DALL-E 2、Imagen、Stable Diffusion 和 ERNIE-ViLG 2.0。,Luma AI首席科学家，DDIM等扩散模型加速算法创建者，成果被DALL-E 2、Stable Diffusion等广泛采用，生成式AI核心奠基者。,https://x.com/baaadas,非常,,employee,,,"au:""Jiaming Song""",,https://scholar.google.com/citations?user=6dP660cAAAAJ,https://github.com/jiamings,http://tsong.me,https://arxiv.org/search/?searchtype=author&query=Jiaming+Song&start=0,,,"x:2060958660541743538,x:2060891548401946762,x:2060958660541743538,x:2060891548401946762,x:2061318445334221149,x:2061314118431429105","https://x.com/baaadas/status/2060891548401946762
https://x.com/baaadas/status/2060958660541743538
https://x.com/baaadas/status/2060958660541743538
https://x.com/baaadas/status/2060891548401946762
https://x.com/baaadas/status/2061318445334221149
https://x.com/baaadas/status/2061314118431429105"
Andrej Karpathy,P0+,person,业界,Anthropic,AI+EDU,前OpenAI员工，目前在创业（Eureka Labs）,前Tesla AI总监、前OpenAI科学家，现创办Eureka Labs探索AI教育，深度学习领域最具影响力的技术传播者与实践者之一。,https://x.com/karpathy,非常,,employee,,,"au:""Andrej Karpathy""",,https://scholar.google.com/citations?user=l8WuQJgAAAAJ&hl=en&oi=ao,https://github.com/karpathy,https://karpathy.ai,https://arxiv.org/search/?searchtype=author&query=Andrej+Karpathy&start=0,,,"x:2056753169888334312,x:2056763614611362102,x:2056768036837949914,x:2058260287665606732,x:2058927870500544686,x:2058926330444714163,x:2059349154854555708,x:2059349154854555708,x:2060144982372340155,x:2060142671616983124,x:2061601689841648120,x:2061575173913088281,x:2063019020056510744,x:2064081945567580323,x:2064409694761054332","https://x.com/TechCrunch/status/2056763614611362102
https://x.com/karpathy/status/2056753169888334312
https://x.com/dwarkesh_sp/status/2058926330444714163
https://x.com/IntuitMachine/status/2058927870500544686
https://x.com/dwarkesh_sp/status/2059349154854555708
https://x.com/dwarkesh_sp/status/2059349154854555708
https://x.com/dexhorthy/status/2060144982372340155
https://x.com/IntuitMachine/status/2060142671616983124
https://x.com/polynoamial/status/2056768036837949914
https://x.com/rohanpaul_ai/status/2058260287665606732
https://x.com/Austen/status/2063019020056510744
https://x.com/dwarkesh_sp/status/2061575173913088281
https://x.com/rohanpaul_ai/status/2061601689841648120
https://x.com/swyx/status/2064081945567580323
https://x.com/karpathy/status/2064409694761054332"
hardmaru,P0+,person,业界,创业公司,Foundation model,Building Collective Intelligence at SakanaAILabs,David Ha，前Google Brain研究员，现任Sakana AI Labs核心成员，专注集体智能与进化式基础模型研究。,https://x.com/hardmaru,非常,,employee,,,"au:""hardmaru""",,,,https://sakana.ai/,https://arxiv.org/search/?searchtype=author&query=hardmaru&start=0,,,"x:2054388446945571026,x:2058363051511038143,x:2058363051511038143,x:2059169884563742879,x:2059108484055224744,x:2059648995132367277,x:2059994855586324671,x:2062450123121262624,x:2062347121068765249,x:2062948594597208557,x:2063315734097514820","https://x.com/hardmaru/status/2054388446945571026
https://x.com/hardmaru/status/2058363051511038143
https://x.com/hardmaru/status/2059108484055224744
https://x.com/hardmaru/status/2059169884563742879
https://x.com/hardmaru/status/2059648995132367277
https://x.com/hardmaru/status/2059994855586324671
https://x.com/hardmaru/status/2058363051511038143
https://x.com/hardmaru/status/2062450123121262624
https://x.com/hardmaru/status/2062347121068765249
https://x.com/hardmaru/status/2062948594597208557
https://x.com/hardmaru/status/2063315734097514820"
Brett Adcock,P0+,person,业界,创业公司,Embodiment,Founder of Figure_robot,Figure Robot创始人，引领通用人形机器人商业化，是具身智能赛道最受瞩目的旗舰创业公司掌舵者。,https://x.com/adcock_brett,非常,,founder,,,"au:""Brett Adcock""",,,,http://brettadcock.com,https://arxiv.org/search/?searchtype=author&query=Brett+Adcock&start=0,,,"x:2054392873685340287,x:2054946098431881720,x:2056420115701448915,x:2056908239724585085,x:2056786783539692023,x:2057462134989263047,x:2057462446462562609,x:2057324020085973264,x:2057462134989263047,x:2057555892988776798,x:2057462446462562609,x:2057324020085973264,x:2057907052140486938,x:2057651077928145235,x:2059351113984557262,x:2059351580789633487,x:2059351113984557262,x:2059351580789633487,x:2060498959370735810,x:2060431765572096052,x:2060675840581480506,x:2060498959370735810,x:2060851798693621860,x:2060675840581480506,x:2062213306639954001,x:2063013335927546017,x:2063335241620852933,x:2064059797365006378","https://x.com/adcock_brett/status/2054946098431881720
https://x.com/adcock_brett/status/2054392873685340287
https://x.com/adcock_brett/status/2054529654644789608
https://x.com/adcock_brett/status/2056420115701448915
https://x.com/adcock_brett/status/2059351580789633487
https://x.com/adcock_brett/status/2059351113984557262
https://x.com/adcock_brett/status/2059351580789633487
https://x.com/adcock_brett/status/2059351113984557262
https://x.com/adcock_brett/status/2056786783539692023
https://x.com/adcock_brett/status/2056908239724585085
https://x.com/adcock_brett/status/2057462134989263047
https://x.com/adcock_brett/status/2057462446462562609
https://x.com/adcock_brett/status/2057324020085973264
https://x.com/adcock_brett/status/2057324020085973264
https://x.com/adcock_brett/status/2057555892988776798
https://x.com/adcock_brett/status/2057462446462562609
https://x.com/adcock_brett/status/2057462134989263047
https://x.com/adcock_brett/status/2057651077928145235
https://x.com/adcock_brett/status/2057907052140486938
https://x.com/adcock_brett/status/2060498959370735810
https://x.com/adcock_brett/status/2060431765572096052
https://x.com/adcock_brett/status/2060675840581480506
https://x.com/adcock_brett/status/2060498959370735810
https://x.com/adcock_brett/status/2060851798693621860
https://x.com/adcock_brett/status/2060675840581480506
https://x.com/adcock_brett/status/2063013335927546017
https://x.com/adcock_brett/status/2063335241620852933
https://x.com/adcock_brett/status/2062213306639954001
https://x.com/adcock_brett/status/2064059797365006378"
Alibaba Cloud,P0+,company,业界,Alibaba,,阿里云官方账号,阿里云官方账号，发布通义千问（Qwen）系列及云计算AI服务，是国内大模型与云智能的旗舰发布渠道。,https://x.com/alibaba_cloud,非常,,official,,,"au:""Alibaba Cloud""",,,,https://int.alibabacloud.com/m/1000410265,https://arxiv.org/search/?searchtype=author&query=Alibaba+Cloud&start=0,,,,
Genmo,P0+,company,业界,Genmo,Multimodal,"Mochi 1, the SOTA open-source video generation model.",Genmo推出开源视频生成模型Mochi 1，在开源视频生成赛道达到SOTA水平，是多模态视频生成领域的旗舰创业机构。,https://x.com/genmoai,非常,,official,,,,,,,http://genmo.ai,,,,,
Physical Intelligence,P0+,company,业界,Physical Intelligence,Embodiment,"Physical Intelligence (Pi), bringing AI into the physical world.",Physical Intelligence（π）由前DeepMind、Google等顶尖研究者创立，专注通用机器人AI，是具身智能领域最受关注的旗舰实验室。,https://x.com/physical_int,非常,,official,,,,,,,https://physicalintelligence.company/,,,,,
The Humanoid Hub,P0+,company,业界,The Humanoid Hub,Embodiment,Robotics,专注人形机器人资讯聚合与行业动态追踪，是具身智能与人形机器人赛道最具影响力的信息枢纽账号。,https://x.com/TheHumanoidHub,非常,,official,,,,,,,https://thehumanoidhub.com/get-newsletter,,,,,
Demis Hassabis,P0+,person,业界,Google DeepMind,,DeepMind CEO,Google DeepMind CEO，AlphaGo、AlphaFold主导者，诺贝尔化学奖得主，是当代AI领域最具影响力的跨时代领军人物。,https://x.com/demishassabis,非常,,founder,,,"au:""Demis Hassabis""",,,https://github.com/google-deepmind,http://www.deepmind.com,https://arxiv.org/search/?searchtype=author&query=Demis+Hassabis&start=0,,,"x:2047693241521152108,x:2056531492080435452,x:2056831486251380783,x:2056904067406860545,x:2056904072012145102,x:2056831487836889178,x:2056817581567115310,x:2056789684697608432,x:2057451075674796182,x:2057451719244513634,x:2057451075674796182,x:2057451719244513634,x:2057946937845067867,x:2058053659527913566,x:2058210419068846408,x:2062241713398149524","https://x.com/GoogleDeepMind/status/2047693241521152108
https://x.com/demishassabis/status/2056531492080435452
https://x.com/TechCrunch/status/2056789684697608432
https://x.com/TechCrunch/status/2056817581567115310
https://x.com/demishassabis/status/2056831487836889178
https://x.com/demishassabis/status/2056831486251380783
https://x.com/demishassabis/status/2056904072012145102
https://x.com/demishassabis/status/2056904067406860545
https://x.com/IntuitMachine/status/2057451719244513634
https://x.com/IntuitMachine/status/2057451075674796182
https://x.com/IntuitMachine/status/2057451719244513634
https://x.com/IntuitMachine/status/2057451075674796182
https://x.com/rohanpaul_ai/status/2057946937845067867
https://x.com/garrytan/status/2058053659527913566
https://x.com/jiaxinwen22/status/2058210419068846408
https://x.com/demishassabis/status/2062241713398149524"
Isomorphic Labs,P0+,company,业界,Alphabet,,Alphabet旗下AI制药公司,Alphabet旗下AI制药旗舰公司，基于AlphaFold技术推进药物发现，是AI+生命科学领域的顶级机构。,https://x.com/IsomorphicLabs,一般,,official,,,"au:""Isomorphic Labs""",,,,http://www.isomorphiclabs.com,https://arxiv.org/search/?searchtype=author&query=Isomorphic+Labs&start=0,,,,
Albert Gu,P0+,person,学界,CMU,Efficient LLM,AP at CMU； chief scientist at Cartesia_ai,CMU助理教授兼Cartesia AI首席科学家，Mamba状态空间模型（SSM）第一作者，开创线性序列建模新范式。,https://x.com/_albertgu,非常,,employee,,,"au:""Albert Gu""",,,,,https://arxiv.org/search/?searchtype=author&query=Albert+Gu&start=0,,,"x:2057897867629785129,x:2060050089478119598","https://x.com/_albertgu/status/2060050089478119598
https://x.com/_albertgu/status/2057897867629785129"
AGI House,P0+,company,其他,AGI House,,AGI研究社区,湾区顶级AI社区与黑客之家，汇聚Anthropic、OpenAI等前沿创业者与研究者，是AGI生态的重要思想交汇地。,https://x.com/agihouse_org,非常,,official,,,,,,,http://www.agihouse.org,,,,,
Microsoft Research,P0+,company,业界,,,,微软顶级工业研究院，发布Phi系列小模型、Florence等代表作，在LLM、多模态与AI基础理论领域持续产出旗舰级成果。,,,v2.2 affiliation bucket,official,,,,,,,,,Microsoft Research|Microsoft AI,,,
Mistral AI,P0+,company,业界,,,,由前DeepMind核心团队创立的欧洲顶级AI公司，推出Mistral 7B、Mixtral等高效开源模型，引领开源大模型赛道。,,,v2.2 affiliation bucket,official,,,,,,,,,Mistral AI,,,
Sierra AI,P0+,company,业界,,,,由前Salesforce CEO Benioff支持的AI Agent公司，专注企业级对话AI落地，是垂直Agent应用领域的代表性旗舰机构。,,,v2.2 affiliation bucket,official,,,,,,,,,Sierra Platform|Sierra AI Labs,,,
Mustafa Suleyman,P0+,person,,,,,Microsoft AI CEO、DeepMind 联创，AI 产业风向标,https://x.com/mustafasuleyman,,[2026-06扩充] 来源:graph · 赛道:产业·应用,,,,"au:""Mustafa Suleyman""",,,,,,,,"x:2061494831558410492,x:2061878629504881151,x:2061881067687260163,x:2061934667096596657,x:2061903347129418227,x:2061882830561628611,x:2061880164498428188,x:2061848699718754481,x:2062275417378041957,x:2062253941207761180,x:2062488225294188829,x:2062609054405447785,x:2063003166950441377,x:2062891924453818418,x:2063170571966222383,x:2064053516306718966,x:2064014591214977118","https://x.com/sriramk/status/2062488225294188829
https://x.com/mustafasuleyman/status/2062609054405447785
https://x.com/mustafasuleyman/status/2063003166950441377
https://x.com/mustafasuleyman/status/2062891924453818418
https://x.com/mustafasuleyman/status/2063170571966222383
https://x.com/mustafasuleyman/status/2061494831558410492
https://x.com/swyx/status/2061878629504881151
https://x.com/mustafasuleyman/status/2061903347129418227
https://x.com/mustafasuleyman/status/2061934667096596657
https://x.com/swyx/status/2061881067687260163
https://x.com/mustafasuleyman/status/2061882830561628611
https://x.com/mustafasuleyman/status/2061880164498428188
https://x.com/mustafasuleyman/status/2061848699718754481
https://x.com/mustafasuleyman/status/2062253941207761180
https://x.com/mustafasuleyman/status/2062275417378041957
https://x.com/mustafasuleyman/status/2064014591214977118
https://x.com/mustafasuleyman/status/2064053516306718966"
Richard Sutton,P0+,person,,,,,强化学习之父、图灵奖得主，领域奠基级宗师,https://x.com/RichardSSutton,,[2026-06扩充] 来源:graph · 赛道:认知模型·RL,,,,"au:""Richard Sutton""",,,,,,,,,
Oriol Vinyals,P0+,person,,,,,DeepMind 研究 VP、Gemini/AlphaStar 负责人,https://x.com/OriolVinyalsML,,[2026-06扩充] 来源:graph · 赛道:认知模型,,,,"au:""Oriol Vinyals""",https://openalex.org/A5003562101,,,,,,,,
Shane Legg,P0+,person,,,,,DeepMind 联创、Chief AGI Scientist,https://x.com/ShaneLegg,,[2026-06扩充] 来源:graph · 赛道:认知模型,,,,"au:""Shane Legg""",https://openalex.org/A5008987732,,,,,,,x:2062852439724769690,https://x.com/ShaneLegg/status/2062852439724769690
